"id_odsp","id_event","sort_order","time","text","event_type","event_type2","side","event_team","opponent","player","player2","player_in","player_out","shot_place","shot_outcome","is_goal","location","bodypart","assist_method","situation","fast_break"
"SrPgk32b/","SrPgk32b27",27,28,"Foul by Cyriaque Rivieyran (Auxerre).","Foul",NA,"Away","AJ Auxerre","Nice","cyriaque rivieyran",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"xEitaUE0/","xEitaUE0104",104,89,"Juan ForlA­n (Espanyol) wins a free kick in the defensive half.","Free kick won",NA,"Home","Espanyol","Getafe","juan forlin",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"CxXF37r9/","CxXF37r958",58,51,"Attempt missed. Rod Fanni (Marseille) header from the centre of the box misses to the left. Assisted by Dimitri Payet following a set piece situation.","Attempt","Key Pass","Home","Marseille","Stade de Reims","rod fanni","dimitri payet",NA,NA,"Misses to the left","Off target",0,"Centre of the box","head","Pass","Set piece",0
"tpg2wPmp/","tpg2wPmp101",101,85,"Anthony Modeste (1899 Hoffenheim) is shown the red card for fighting.","Red card","Sending off","Home","TSG Hoffenheim","Eintracht Frankfurt","anthony modeste",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"bkPGGrJG/","bkPGGrJG32",32,32,"Paul Dummett (Newcastle United) wins a free kick on the left wing.","Free kick won",NA,"Away","Newcastle","Stoke City","paul dummett",NA,NA,NA,NA,NA,0,"Left wing",NA,"None",NA,0
"IwYpqhID/","IwYpqhID97",97,90,"SebastiA¡n Dubarbier (AlmerA­a) wins a free kick in the defensive half.","Free kick won",NA,"Home","Almeria","Espanyol","sebastian dubarbier",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"UgO3e2hF/","UgO3e2hF61",61,59,"Raul GarcA­a (Osasuna) is shown the yellow card for a bad foul.","Yellow card",NA,"Away","Osasuna","Levante","raul garcia",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"A5SeExvn/","A5SeExvn36",36,33,"Foul by Kostas Manolas (Roma).","Foul",NA,"Home","AS Roma","Lazio","kostas manolas",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"EZGjvusU/","EZGjvusU33",33,42,"Eric Bautheac (Nice) wins a free kick in the defensive half.","Free kick won",NA,"Home","Nice","Montpellier","eric bautheac",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"IoG36wDt/","IoG36wDt83",83,72,"Attempt saved. Daniel Parejo (Valencia) right footed shot from outside the box is saved in the top centre of the goal.","Attempt",NA,"Away","Valencia","Eibar","daniel parejo",NA,NA,NA,"Top centre of the goal","On target",0,"Outside the box","right foot","None","Open play",0
"4UYv07Pj/","4UYv07Pj74",74,62,"Substitution, FC Nurnberg. Robert Mak replaces Hanno Balitsch.","Substitution",NA,"Away","Nurnberg","Bayer Leverkusen",NA,NA,"robert mak","hanno balitsch",NA,NA,0,NA,NA,"None",NA,0
"SSrqpdzK/","SSrqpdzK40",40,41,"Corner,  AtlA©tico de Madrid. Conceded by Juanfran.","Corner",NA,"Home","Atletico Madrid","Levante","juanfran","juanfran",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"UX7WGxzN/","UX7WGxzN36",36,39,"JA©rA©my Sorbon (Guingamp) wins a free kick in the defensive half.","Free kick won",NA,"Away","Guingamp","Nice","jeremy sorbon",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"fgaelE0M/","fgaelE0M79",79,70,"Mobido DiakitA© (Lazio) wins a free kick in the defensive half.","Free kick won",NA,"Away","Lazio","Cesena","mobido diakite",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"YuiAA3df/","YuiAA3df101",101,75,"Attempt blocked. Boukary DramA© (Atalanta) left footed shot from the left side of the box is blocked. Assisted by Carlos Carmona.","Attempt","Key Pass","Away","Atalanta","Palermo","boukary drame","carlos carmona",NA,NA,"Blocked","Blocked",0,"Left side of the box","left foot","Pass","Open play",0
"bL77rTga/","bL77rTga109",109,82,"Substitution, Genoa. Ahmed Said replaces Andrea Bertolacci.","Substitution",NA,"Home","Genoa","Fiorentina",NA,NA,"ahmed said","andrea bertolacci",NA,NA,0,NA,NA,"None",NA,0
"SvUCLEn5/","SvUCLEn5109",109,90,"Gabriele Perico (Cesena) is shown the yellow card.","Yellow card",NA,"Home","Cesena","Udinese","gabriele perico",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"x2Zi4e7i/","x2Zi4e7i67",67,77,"Attempt missed. Maicon (Roma) right footed shot from outside the box is close, but misses the top right corner.","Attempt",NA,"Home","AS Roma","Genoa","maicon",NA,NA,NA,"Top right corner","Off target",0,"Outside the box","right foot","None","Open play",0
"4QqENxTE/","4QqENxTE19",19,15,"Foul by Marco Borriello (Juventus).","Foul",NA,"Home","Juventus","Napoli","marco borriello",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"pCmJkFyC/","pCmJkFyC24",24,19,"Foul by AndrA© Ayew (Marseille).","Foul",NA,"Away","Marseille","Bordeaux","andre ayew",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"OS3amYFS/","OS3amYFS26",26,38,"Foul by Bostjan Cesar (Chievo).","Foul",NA,"Home","Chievo Verona","Napoli","bostjan cesar",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"nNLl0qGB/","nNLl0qGB111",111,82,"Foul by Shawn Parker (FC Augsburg).","Foul",NA,"Away","FC Augsburg","SC Paderborn","shawn parker",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"Igv0LjDg/","Igv0LjDg86",86,72,"Corner,  Tottenham Hotspur. Conceded by Cesar Azpilicueta.","Corner",NA,"Away","Tottenham","Chelsea","cesar azpilicueta","cesar azpilicueta",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"S4u2vQtF/","S4u2vQtF43",43,50,"Adrien Rabiot (Paris Saint Germain) wins a free kick in the attacking half.","Free kick won",NA,"Away","Paris Saint-Germain","Caen","adrien rabiot",NA,NA,NA,NA,NA,0,"Attacking half",NA,"None",NA,0
"pb7T5kiH/","pb7T5kiH71",71,80,"Attempt blocked. Rachid Ghezzal (Lyon) left footed shot from the right side of the box is blocked. Assisted by Maxwell Cornet.","Attempt","Key Pass","Away","Lyon","Angers","rachid ghezzal","maxwell cornet",NA,NA,"Blocked","Blocked",0,"Right side of the box","left foot","Pass","Open play",0
"nmk6wCw0/","nmk6wCw070",70,65,"Attempt blocked. Abdel Barrada (Marseille) right footed shot from the centre of the box is blocked.","Attempt",NA,"Away","Marseille","Nantes","abdel barrada",NA,NA,NA,"Blocked","Blocked",0,"Centre of the box","right foot","None","Open play",0
"nJwppXPD/","nJwppXPD96",96,76,"Foul by Stefan Kiessling (Bayer 04 Leverkusen).","Foul",NA,"Away","Bayer Leverkusen","Schalke 04","stefan kiessling",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"IyP49J4t/","IyP49J4t58",58,51,"Goal!  SV Darmstadt 98 2, VfB Stuttgart 2. Peter Niemeyer (SV Darmstadt 98) header from very close range to the top left corner. Assisted by Mario Vrancic following a set piece situation.","Attempt","Key Pass","Home","SV Darmstadt 98","VfB Stuttgart","peter niemeyer","mario vrancic",NA,NA,"Top left corner","On target",1,"Very close range","head","Pass","Set piece",0
"hIESeAli/","hIESeAli84",84,84,"Penalty Valenciennes. GaA«l Danic draws a foul in the penalty area.","Penalty conceded",NA,"Away","Valenciennes","Evian Thonon Gaillard",NA,NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"nsfOpXQQ/","nsfOpXQQ62",62,66,"Substitution      Substitution, Manchester City. Wilfried Bony replaces Yaya Toure.","Substitution",NA,"Home","Manchester City","Southampton",NA,NA,"wilfried bony","yaya toure",NA,NA,0,NA,NA,"None",NA,0
"AHl7Z6TL/","AHl7Z6TL21",21,24,"Corner,  Real Sociedad. Conceded by Mario.","Corner",NA,"Away","Real Sociedad","Villarreal","mario",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"S4V1Tkq7/","S4V1Tkq772",72,78,"Pedro (Chelsea) wins a free kick in the defensive half.","Free kick won",NA,"Away","Chelsea","West Brom","pedro",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"Mw96pnwN/","Mw96pnwN56",56,48,"Isaac Cofie (Carpi) is shown the yellow card for a bad foul.","Yellow card",NA,"Home","Carpi","Sampdoria","isaac cofie",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"boDZxsN1/","boDZxsN173",73,70,"Foul by Zlatko Junuzovic (SV Werder Bremen).","Foul",NA,"Home","Werder Bremen","Borussia Dortmund","zlatko junuzovic",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"EaIJqzp0/","EaIJqzp078",78,70,"Hand ball by Mario Suarez (Valencia).","Hand ball",NA,"Home","Valencia","Malaga","mario suarez",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"KdLPRx82/","KdLPRx8224",24,39,"David Silva (Manchester City) wins a free kick in the attacking half.","Free kick won",NA,"Away","Manchester City","West Brom","david silva",NA,NA,NA,NA,NA,0,"Attacking half",NA,"None",NA,0
"YB1MRzn6/","YB1MRzn64",4,5,"Attempt blocked. Neymar (Barcelona) left footed shot from the centre of the box is blocked. Assisted by Jordi Alba.","Attempt","Key Pass","Home","Barcelona","Valencia","neymar","jordi alba",NA,NA,"Blocked","Blocked",0,"Centre of the box","left foot","Pass","Open play",0
"p0hEJIY6/","p0hEJIY641",41,42,"Goal!  Roma 1, Genoa 0. Alessandro Florenzi (Roma) right footed shot from the centre of the box to the centre of the goal.","Attempt",NA,"Home","AS Roma","Genoa","alessandro florenzi",NA,NA,NA,"Centre of the goal","On target",1,"Centre of the box","right foot","None","Open play",0
"AaPDDFbm/","AaPDDFbm44",44,45,"Foul by Alfred N'Diaye (Real Betis).","Foul",NA,"Away","Real Betis","Elche","alfred ndiaye",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"z9sMYcEp/","z9sMYcEp28",28,29,"Nemanja Radoja (Celta de Vigo) wins a free kick in the attacking half.","Free kick won",NA,"Away","Celta Vigo","Eibar","nemanja radoja",NA,NA,NA,NA,NA,0,"Attacking half",NA,"None",NA,0
"0xShn78M/","0xShn78M15",15,11,"Felix Kroos (SV Werder Bremen) wins a free kick in the defensive half.","Free kick won",NA,"Home","Werder Bremen","VfL Wolfsburg","felix kroos",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"67v75PZ0/","67v75PZ047",47,49,"Foul by Nico Schulz (Hertha Berlin).","Foul",NA,"Away","Hertha Berlin","Mainz","nico schulz",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"GdENpHIo/","GdENpHIo6",6,3,"Offside, Bologna. Adam Masina tries a through ball, but Mattia Destro is caught offside.","Offside","Failed through ball","Home","Bologna","Palermo","mattia destro","adam masina",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"650nAGXP/","650nAGXP67",67,61,"Goal!  Real Sociedad 1, Athletic de Bilbao 1. IA±igo MartA­nez (Real Sociedad) left footed shot from more than 35 yards to the high centre of the goal. Assisted by Vadim Demidov.","Attempt","Key Pass","Home","Real Sociedad","Athletic Bilbao","inigo martinez","vadim demidov",NA,NA,NA,"On target",1,"More than 35 yards","left foot","Pass","Open play",0
"vu7OqoWH/","vu7OqoWH4",4,7,"Hand ball by Gonzalo Escalante (Eibar).","Hand ball",NA,"Away","Eibar","Barcelona","gonzalo escalante",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"6D7SPvwj/","6D7SPvwj24",24,27,"Foul by Kamil Glik (Torino).","Foul",NA,"Away","Torino","Lazio","kamil glik",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"n7KhHUyj/","n7KhHUyj85",85,80,"Miguel Angel MoyA¡ (Getafe) is shown the yellow card.","Yellow card",NA,"Home","Getafe","Mallorca","miguel angel moya",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"l0FeGSIC/","l0FeGSIC77",77,80,"GrA©gory Sertic (Bordeaux) wins a free kick in the attacking half.","Free kick won",NA,"Away","Bordeaux","Evian Thonon Gaillard","gregory sertic",NA,NA,NA,NA,NA,0,"Attacking half",NA,"None",NA,0
"21Hp48Ia/","21Hp48Ia40",40,31,"Nico Pulzetti (Bologna) is shown the yellow card for a bad foul.","Yellow card",NA,"Home","Bologna","Siena","nico pulzetti",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"Iq7B8CAm/","Iq7B8CAm77",77,79,"Attempt saved. Philippe Coutinho (Liverpool) right footed shot from the centre of the box is saved in the top centre of the goal. Assisted by Joe Allen.","Attempt","Key Pass","Away","Liverpool","Crystal Palace","philippe coutinho","joe allen",NA,NA,"Top centre of the goal","On target",0,"Centre of the box","right foot","Pass","Open play",0
"AaTb2R6o/","AaTb2R6o58",58,65,"Attempt missed. Alvaro Morata (Real Madrid) right footed shot from outside the box misses to the left. Assisted by Asier Illarramendi.","Attempt","Key Pass","Home","Real Madrid","Osasuna","alvaro morata","asier illarramendi",NA,NA,"Misses to the left","Off target",0,"Outside the box","right foot","Pass","Open play",0
"AwUROUnA/","AwUROUnA92",92,80,"Jamie Vardy (Leicester City) wins a free kick in the attacking half.","Free kick won",NA,"Home","Leicester City","Newcastle","jamie vardy",NA,NA,NA,NA,NA,0,"Attacking half",NA,"None",NA,0
"ABBKuSOC/","ABBKuSOC95",95,86,"Christian BrA¼ls (Nice) wins a free kick in the defensive half.","Free kick won",NA,"Home","Nice","Marseille","christian bruls",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"U3E1LPo4/","U3E1LPo430",30,36,"Manuel Iturra (Udinese) wins a free kick in the attacking half.","Free kick won",NA,"Away","Udinese","Hellas Verona","manuel iturra",NA,NA,NA,NA,NA,0,"Attacking half",NA,"None",NA,0
"Y7VxViXG/","Y7VxViXG48",48,35,"Daniel Brosinski (1. FSV Mainz 05) wins a free kick in the defensive half.","Free kick won",NA,"Away","Mainz","Eintracht Frankfurt","daniel brosinski",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"CvQX4sgS/","CvQX4sgS36",36,31,"Thomas Kahlenberg (Wolfsburg) wins a free kick in the defensive half.","Free kick won",NA,"Away","VfL Wolfsburg","FC Augsburg","thomas kahlenberg",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"rBCgg6G1/","rBCgg6G113",13,18,"Foul by Edgar (AlmerA­a).","Foul",NA,"Away","Almeria","Valencia","edgar",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"M1ghdSbJ/","M1ghdSbJ45",45,43,"Offside, Real Madrid. Cristiano Ronaldo tries a through ball, but Angel Di MarA­a is caught offside.","Offside","Failed through ball","Away","Real Madrid","Real Betis","angel di maria","cristiano ronaldo",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"IaopSbvg/","IaopSbvg62",62,49,"Oliver Kragl (Frosinone) wins a free kick on the right wing.","Free kick won",NA,"Home","Frosinone","Internazionale","oliver kragl",NA,NA,NA,NA,NA,0,"Right wing",NA,"None",NA,0
"Ob15OiVS/","Ob15OiVS32",32,40,"Foul by Marko Arnautovic (Stoke City).","Foul",NA,"Away","Stoke City","Manchester Utd","marko arnautovic",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"SIGo3OUq/","SIGo3OUq84",84,70,"Attempt missed. Etienne Didot (Toulouse) right footed shot from outside the box misses to the left following a corner.","Attempt",NA,"Away","Toulouse","Bordeaux","etienne didot",NA,NA,NA,"Misses to the left","Off target",0,"Outside the box","right foot","None","Corner",0
"YizuRylK/","YizuRylK69",69,67,"Foul by Giuseppe Colucci (Cesena).","Foul",NA,"Home","Cesena","AC Milan","giuseppe colucci",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"M3deiCbD/","M3deiCbD51",51,49,"Attempt blocked. Victor Moses (West Ham United) right footed shot from outside the box is blocked. Assisted by Emmanuel Emenike.","Attempt","Key Pass","Away","West Ham","Leicester City","victor moses","emmanuel emenike",NA,NA,"Blocked","Blocked",0,"Outside the box","right foot","Pass","Open play",0
"nm9A2J66/","nm9A2J66107",107,90,"Anthony Lopes (Lyon) wins a free kick in the defensive half.","Free kick won",NA,"Home","Lyon","AS Monaco","anthony lopes",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"lAuqTi5b/","lAuqTi5b73",73,50,"Offside, Toulouse. Daniel Braaten tries a through ball, but Moussa Sissoko is caught offside.","Offside","Failed through ball","Home","Toulouse","Lille","moussa sissoko","daniel braaten",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"0QROMl49/","0QROMl4947",47,47,"Attempt missed. Borja BastA³n (Eibar) right footed shot from outside the box misses to the right. Assisted by Takashi Inui.","Attempt","Key Pass","Away","Eibar","Rayo Vallecano","borja baston","takashi inui",NA,NA,"Misses to the right","Off target",0,"Outside the box","right foot","Pass","Open play",0
"QiPDucC0/","QiPDucC025",25,35,"Foul by Alfred Duncan (Livorno).","Foul",NA,"Away","Livorno","Internazionale","alfred duncan",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"jBxP8XK6/","jBxP8XK673",73,91,"Kevin Mirallas (Everton) wins a free kick on the left wing.","Free kick won",NA,"Home","Everton","Leicester City","kevin mirallas",NA,NA,NA,NA,NA,0,"Left wing",NA,"None",NA,0
"WQsNHFai/","WQsNHFai1",1,1,"Attempt missed. Pape Diop (Levante) right footed shot from outside the box is high and wide to the left.","Attempt",NA,"Home","Levante","Sevilla","pape diop",NA,NA,NA,"High and wide","Off target",0,"Outside the box","right foot","None","Open play",0
"tYC0beud/","tYC0beud18",18,20,"Foul by Tobias Strobl (1899 Hoffenheim).","Foul",NA,"Away","TSG Hoffenheim","Borussia Monchengladbach","tobias strobl",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"rDTbv1TD/","rDTbv1TD109",109,88,"Substitution      Substitution, Newcastle United. Remy Cabella replaces Sammy Ameobi.","Substitution",NA,"Home","Newcastle","Sunderland",NA,NA,"remy cabella","sammy ameobi",NA,NA,0,NA,NA,"None",NA,0
"A98iHgLL/","A98iHgLL51",51,51,"Offside, Torino. Omar El Kaddouri tries a through ball, but Ciro Immobile is caught offside.","Offside","Failed through ball","Away","Torino","Catania","ciro immobile","omar el kaddouri",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"tb3uhvZj/","tb3uhvZj13",13,12,"Alexis SA¡nchez (Barcelona) wins a free kick in the defensive half.","Free kick won",NA,"Away","Barcelona","Osasuna","alexis sanchez",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"UoPmL01k/","UoPmL01k32",32,31,"Foul by SebastiA¡n Dubarbier (AlmerA­a).","Foul",NA,"Away","Almeria","Levante","sebastian dubarbier",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"hjNcljee/","hjNcljee26",26,29,"Ryad Boudebouz (Bastia) wins a free kick on the right wing.","Free kick won",NA,"Home","Bastia","Stade de Reims","ryad boudebouz",NA,NA,NA,NA,NA,0,"Right wing",NA,"None",NA,0
"QqoGgjzN/","QqoGgjzN18",18,34,"Balenziaga (Athletic Club) wins a free kick on the left wing.","Free kick won",NA,"Away","Athletic Bilbao","Valencia","balenziaga",NA,NA,NA,NA,NA,0,"Left wing",NA,"None",NA,0
"4fnrTHHe/","4fnrTHHe32",32,32,"Foul by Jeison Murillo (Inter Milan).","Foul",NA,"Home","Internazionale","Juventus","jeison murillo",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"r7t2uk1j/","r7t2uk1j40",40,40,"Attempt missed. Marcell Jansen (Hamburg) header from the centre of the box is close, but misses to the right following a set piece situation.","Attempt",NA,"Away","Hamburg SV","Mainz","marcell jansen",NA,NA,NA,"Misses to the right","Off target",0,"Centre of the box","head","None","Set piece",0
"0QusS79I/","0QusS79I95",95,61,"Gianni Munari (Sampdoria) is shown the yellow card for a bad foul.","Yellow card",NA,"Home","Sampdoria","Cagliari","gianni munari",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"OWtrCxbd/","OWtrCxbd74",74,64,"Attempt missed. Yohan Cabaye (Newcastle United) right footed shot from outside the box misses to the left. Assisted by Yoan Gouffran.","Attempt","Key Pass","Home","Newcastle","Stoke City","yohan cabaye","yoan gouffran",NA,NA,"Misses to the left","Off target",0,"Outside the box","right foot","Pass","Open play",0
"6V2EiFgk/","6V2EiFgk52",52,59,"Michail Antonio (West Ham United) wins a free kick on the right wing.","Free kick won",NA,"Home","West Ham","Swansea","michail antonio",NA,NA,NA,NA,NA,0,"Right wing",NA,"None",NA,0
"dQEhOGwI/","dQEhOGwI74",74,77,"Attempt blocked. Marco Parolo (Lazio) right footed shot from the centre of the box is blocked. Assisted by Felipe Anderson.","Attempt","Key Pass","Away","Lazio","Palermo","marco parolo","felipe anderson",NA,NA,"Blocked","Blocked",0,"Centre of the box","right foot","Pass","Open play",0
"QRXxBkQo/","QRXxBkQo58",58,51,"Oier (Osasuna) is shown the yellow card for a bad foul.","Yellow card",NA,"Away","Osasuna","Barcelona","oier",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"Or5HklNu/","Or5HklNu10",10,16,"Corner,  Osasuna. Conceded by JoA£o Pereira.","Corner",NA,"Home","Osasuna","Valencia","joa£o pereira","joa£o pereira",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"Kj0N65cj/","Kj0N65cj76",76,81,"Massadio Haidara (Newcastle United) wins a free kick on the left wing.","Free kick won",NA,"Home","Newcastle","Cardiff","massadio haidara",NA,NA,NA,NA,NA,0,"Left wing",NA,"None",NA,0
"AyiktMTE/","AyiktMTE41",41,43,"Attempt missed. Diego (Reims) left footed shot from a difficult angle and long range on the left misses to the left. Assisted by Anthony Weber.","Attempt","Key Pass","Home","Stade de Reims","Stade Rennes","diego","anthony weber",NA,NA,"Misses to the left","Off target",0,"Difficult angle and long range","left foot","Pass","Open play",0
"zTCRhfsB/","zTCRhfsB104",104,74,"Offside, Marseille. Charles KaborA© tries a through ball, but CA©sar Azpilicueta is caught offside.","Offside","Failed through ball","Away","Marseille","AC Ajaccio","cesar azpilicueta","charles kabore",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"fyHKUFGu/","fyHKUFGu38",38,39,"Corner,  Udinese. Conceded by Nicola Murru.","Corner",NA,"Away","Udinese","Cagliari","nicola murru","nicola murru",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"AwUROUnA/","AwUROUnA72",72,68,"Attempt missed. Matthew James (Leicester City) left footed shot from the centre of the box misses to the left. Assisted by Marc Albrighton with a cross.","Attempt","Key Pass","Home","Leicester City","Newcastle","matthew james","marc albrighton",NA,NA,"Misses to the left","Off target",0,"Centre of the box","left foot","Cross","Open play",0
"f3wP5497/","f3wP549744",44,45,"Foul by Tongo Doumbia (Toulouse).","Foul",NA,"Away","Toulouse","Lorient","tongo doumbia",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"YTK2uCD0/","YTK2uCD019",19,14,"Riccardo Meggiorini (Torino) wins a free kick in the attacking half.","Free kick won",NA,"Home","Torino","Juventus","riccardo meggiorini",NA,NA,NA,NA,NA,0,"Attacking half",NA,"None",NA,0
"jLXezZ12/","jLXezZ1218",18,26,"Lucas Lima (Nantes) wins a free kick in the defensive half.","Free kick won",NA,"Home","Nantes","Toulouse","lucas lima",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"h6g6CvJU/","h6g6CvJU92",92,80,"Attempt missed. JA©rA©my Choplin (Bastia) header from the centre of the box misses to the right. Assisted by Wahbi Khazri with a cross following a corner.","Attempt","Key Pass","Home","Bastia","Troyes","jeremy choplin","wahbi khazri",NA,NA,"Misses to the right","Off target",0,"Centre of the box","head","Cross","Corner",0
"YNccR3Ng/","YNccR3Ng78",78,83,"Christian Benteke (Liverpool) wins a free kick on the left wing.","Free kick won",NA,"Home","Liverpool","Manchester City","christian benteke",NA,NA,NA,NA,NA,0,"Left wing",NA,"None",NA,0
"A7JQbGB2/","A7JQbGB290",90,74,"Attempt missed. Falcao (AtlA©tico de Madrid) right footed shot from more than 35 yards misses to the right. Assisted by Diego GodA­n.","Attempt","Key Pass","Away","Atletico Madrid","Celta Vigo","falcao","diego godin",NA,NA,"Misses to the right","Off target",0,"More than 35 yards","right foot","Pass","Open play",0
"Q3ave6P3/","Q3ave6P391",91,75,"Corner,  Bayer Leverkusen. Conceded by Oliver Baumann.","Corner",NA,"Home","Bayer Leverkusen","SC Freiburg","oliver baumann","oliver baumann",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"ID6Y7MZf/","ID6Y7MZf125",125,90,"Foul by Mevlut Erding (St Etienne).","Foul",NA,"Home","St Etienne","Marseille","mevlut erdinc",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"j5RxtVJl/","j5RxtVJl4",4,5,"Blaise Matuidi (Paris Saint Germain) wins a free kick in the defensive half.","Free kick won",NA,"Away","Paris Saint-Germain","Evian Thonon Gaillard","blaise matuidi",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"MZzKTDet/","MZzKTDet81",81,73,"Offside, Chelsea. Cesc Fabregas tries a through ball, but Diego Costa is caught offside.","Offside","Failed through ball","Home","Chelsea","Liverpool","diego costa","cesc fabregas",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"rBxE1pYQ/","rBxE1pYQ5",5,6,"Attempt saved. Mattia Cassani (Parma) right footed shot from outside the box is saved in the centre of the goal. Assisted by Antonio Cassano.","Attempt","Key Pass","Away","Parma","Fiorentina","mattia cassani","antonio cassano",NA,NA,"Centre of the goal","On target",0,"Outside the box","right foot","Pass","Open play",0
"O6mDpNXd/","O6mDpNXd50",50,48,"Attempt missed. Jesus Navas (Manchester City) left footed shot from the right side of the box is just a bit too high.","Attempt",NA,"Home","Manchester City","Tottenham","jesus navas",NA,NA,NA,"Bit too high","Off target",0,"Right side of the box","left foot","None","Open play",0
"G6sHSp8a/","G6sHSp8a98",98,85,"Attempt saved. Rafael Toloi (Roma) right footed shot from outside the box is saved in the top centre of the goal. Assisted by Miralem Pjanic.","Attempt","Key Pass","Home","AS Roma","Torino","rafael toloi","miralem pjanic",NA,NA,"Top centre of the goal","On target",0,"Outside the box","right foot","Pass","Open play",0
"Khk70ncf/","Khk70ncf74",74,51,"Aleandro Rosi (Parma) is shown the yellow card.","Yellow card",NA,"Away","Parma","Napoli","aleandro rosi",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"8n45JddO/","8n45JddO45",45,42,"Attempt saved. Wesley Sneijder (Inter Milan) right footed shot from outside the box is saved in the bottom right corner. Assisted by Mauro ZA¡rate.","Attempt","Key Pass","Home","Internazionale","Chievo Verona","wesley sneijder","mauro zarate",NA,NA,"Bottom right corner","On target",0,"Outside the box","right foot","Pass","Open play",0
"vghUqF6b/","vghUqF6b116",116,89,"Attempt missed. Xabi Prieto (Real Sociedad) right footed shot from the right side of the box is just a bit too high. Assisted by RubA©n Pardo following a fast break.","Attempt","Key Pass","Away","Real Sociedad","Athletic Bilbao","xabi prieto","ruben pardo",NA,NA,"Bit too high","Off target",0,"Right side of the box","right foot","Pass","Open play",1
"va3k5hv9/","va3k5hv968",68,59,"Substitution, Sassuolo. Davide Biondini replaces Alfred Duncan.","Substitution",NA,"Away","Sassuolo","AS Roma",NA,NA,"davide biondini","alfred duncan",NA,NA,0,NA,NA,"None",NA,0
"A7sQmG3r/","A7sQmG3r40",40,29,"Foul by JoaquA­n Larrivey (Celta de Vigo).","Foul",NA,"Home","Celta Vigo","Getafe","joaquin larrivey",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
